method;positive/false pos;exclusion;url;title;author;Profile;Location;Work;Year;date;hashtags
hashtag;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/_adam_barker/one-of-the-most-useful-software-development-skills-has-nothing-to-do-with-software-development-22l6;One of the Most Useful Software Development Skills Has Nothing To Do With Software Development;Adam Barker;;;;;2018-04-10T20:27:41Z;
hashtag;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/pavsaund/rituals-of-shaming-in-the-software-industry;Rituals of Shaming in the Software Industry;Pavneet Singh Saund;;;;;2017-01-13T20:43:49Z;
hashtag;positive;;https://dev.to/davidsonsousa/fellow-developer-the-lack-of-empathy-may-be-killing-your-career-4j4l;Fellow developer: The lack of empathy may be killing your career;Davidson Sousa;https://github.com/davidsonsousa;Czech Republic;Software Developer;2019;2019-04-25T13:36:27Z;
hashtag;positive;;https://dev.to/inovizz/why-do-software-developers-need-to-be-more-empathetic-27m;Why do Software Developers need to be More Empathetic?;Sanchit Balchandani;https://github.com/inovizz;India;Software Engineer;2020;2020-12-24T00:09:39Z;
hashtag;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/gaiety/performance-reviews---you-and-your-peers;Performance Reviews - You and Your Peers;Joe L. Wroten;;;;;2017-06-01T20:21:25Z;
hashtag;positive;;https://dev.to/cheetah100/ownership-empathy-and-efficiency-15em;Ownership, Empathy and Efficiency;Peter Harrison;https://github.com/cheetah100;New Zeland;Executive Director;2018;2018-08-30T22:00:48Z;
hashtag;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/bbbbruni/stop-being-a-toxic-person-start-to-have-empathy-54h9;Stop being a toxic person, start to have empathy.;Bruno Almeida;https://br.linkedin.com/in/bruno-telles-almeida;Brazil;Software Engineer Manager;;2019-01-20T00:31:12Z;
hashtag;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/one-beyond/become-a-chameleon-thanks-to-introversion-and-shyness-268p;Become a chameleon thanks to introversion and shyness;Alberto Tur‚gano;;;;;2021-12-21T13:35:33Z;
hashtag;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/wilburpowery/be-a-good-person-ef;Be a good person;Wilbur Powery ;;;;;2018-05-14T04:27:51Z;
hashtag;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/pavsaund/hitting-refresh-3lig;Hitting refresh;Pavneet Singh Saund;;;;;2018-05-18T11:51:10Z;
hashtag;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/amcaplan/why-i-created-dev-empathy-book-club-51bj;Why I Created Dev Empathy Book Club;Ariel Caplan;https://il.linkedin.com/in/ariel-caplan;Israel;Backend Developer;;2018-04-26T21:23:17Z;
hashtag;positive;;https://dev.to/dkassen/nonviolent-communication-in-code-reviews-3jh2;Nonviolent Communication in Code Review: Receiving Comments;Daniel Kassen;https://github.com/dkassen;USA;Software Engineer ;2019;2019-10-21T23:11:15Z;
hashtag;false positive;Practitioner profile not found;https://dev.to/silvestricodes/compassionate-empathy-help-your-fellow-friend-59an;Compassionate Empathy: Help your fellow friend;Jonathan Silvestri;;;Frontend Developer;;2019-05-29T15:17:41Z;
hashtag;false positive;discussion about technical issues;https://dev.to/frantic/how-to-convince-your-boss-to-use-reactnative-4a2;How to convince your boss to use ReactÿNative;Alex Kotliarskyi;;;;;2019-03-23T16:47:37Z;
hashtag;positive;;https://dev.to/varenya/under-appreciated-skills-of-a-software-developer-39jn;Under-Appreciated Skills of a Software Developer ;Varenya Thyagaraj;https://github.com/varenya;India;Software Engineer;2021;2021-03-14T00:00:00Z;
hashtag;positive;;https://dev.to/tstromberg/motivating-software-engineering-teams-n1n;Motivating Software Engineering Teams;Thomas Str”mberg;https://github.com/tstromberg;USA;Engineering Manager;2021;2021-03-09T22:52:54Z;
hashtag;false positive;uses hashtag, but does not discuss empathy skills;https://dev.to/botanical/talk-less-listen-more-i89;Talk Less, Listen More;Jennifer Tran;;;;;2021-03-14T16:33:25Z;
hashtag;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/ruthmoog/weeknotes-03-makers-2l4l;Weeknotes - 03 Makers;ruthmoog;;;;;2019-06-18T08:49:05Z;
hashtag;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/history_dev/the-pythagorean-theorem-and-empathy-for-the-past-9b2;The Pythagorean Theorem and Empathy for the Past;History Dev;;;;;2021-12-09T21:14:09Z;
hashtag;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/aprilwensel/nevertheless-april-wensel-coded;Nevertheless, April Wensel Coded ;April Wensel;;;;;2017-03-08T08:00:11Z;
hashtag;positive;;https://dev.to/mooreds/develop-empathy-1d0g;Develop empathy;Dan Moore;https://github.com/mooreds;USA;Developer Advocate;2020;2020-03-06T20:26:25Z;
hashtag;positive;;https://dev.to/pesse/improving-tech-with-compassionate-coding-188g;Improving Tech with Compassionate Coding;Samuel Nitsche;https://github.com/pesse;Germany;Software Developer;2019;2019-05-09T05:43:32Z;
hashtag;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/atlassian/that-time-marriage-advice-helped-me-manage-my-team-5835;That time marriage advice helped me manage my team;Ashley Faus;;;;;2018-12-12T03:32:35Z;
hashtag;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/keepkreating/keeping-someone-in-mind-whilst-creating-a-discussion-guide-315f;Keeping someone in mind whilst Creating a Discussion Guide;Shafeeza;;;;;2020-05-28T02:41:40Z;
hashtag;positive;;https://dev.to/sturdynut/coding-without-ego-503k;Coding without Ego;Matti Salokangas;https://github.com/sturdynut;USA;Software Engineer;2020;2020-03-01T19:03:31Z;
hashtag;false positive;uses hashtag, but does not discuss empathy skills;https://dev.to/craigbuchek/you-don-t-have-to-be-right-l9h;You Don?t Have to Be Right;Craig Buchek;;;;;2020-03-28T21:43:05Z;
hashtag;positive;;https://dev.to/aprilwensel/user-tests-will-make-you-a-better-developer;User Tests Will Make You a Better Developer;April Wensel;https://github.com/aprilw;USA;Software Engineer;2017;2017-02-16T19:13:32Z;
hashtag;false positive;not in english;https://dev.to/elenadotnet/empatia-y-codigo-ajeno-4b3l;Empat¡a y c¢digo ajeno;Elena.NET;;;;;2021-09-20T08:48:56Z;
hashtag;false positive;uses hashtag, but does not discuss empathy skills;https://dev.to/koenighotze/loaded-terms-and-why-you-should-avoid-them-40f6;Loaded terms and why you should avoid them;David Schmitz;;;;;2021-08-21T08:10:24Z;
hashtag;false positive;uses hashtag, but does not discuss empathy skills;https://dev.to/justgage/don-t-come-in-guns-a-blazing-5c19;" Don't come in ""Guns-A-Blazing'"" ";Gage;;;;;2021-04-09T02:11:06Z;
hashtag;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/anuragjha/implementing-empathy-585m;Implementing Empathy;Anurag Jha;;;;;2020-04-06T20:17:46Z;
